key	bgcolor	dx	dy	edgecolor	frame	play	player	player_num	team	x	y	z	player_has_ball	player_action	player_role	vx	vy	v	v_theta	vx_norm	vy_norm
0	NA	0	0	NA	0	Leicester 0 - [3] Liverpool	0	NA	NA	85.07054985852443	26.55231918037573	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
1	NA	0	0	NA	1	Leicester 0 - [3] Liverpool	0	NA	NA	85.07054985852443	26.55231918037573	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
2	NA	0	0	NA	2	Leicester 0 - [3] Liverpool	0	NA	NA	85.07054985852443	26.55231918037573	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
3	NA	0	0	NA	3	Leicester 0 - [3] Liverpool	0	NA	NA	85.07054985852443	26.55231918037573	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
4	NA	0	0	NA	4	Leicester 0 - [3] Liverpool	0	NA	NA	85.07054985852443	26.55231918037573	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
5	NA	0	0	NA	5	Leicester 0 - [3] Liverpool	0	NA	NA	85.07054985852443	26.55231918037573	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
6	NA	0	0	NA	6	Leicester 0 - [3] Liverpool	0	NA	NA	85.07054985852443	26.55231918037573	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
7	NA	0.26359986518991657	-0.18557061497210214	NA	7	Leicester 0 - [3] Liverpool	0	NA	NA	85.33414972371435	26.36674856540363	0	FALSE	NA	NA	5.271997303798331	-3.711412299442043	6.447366658389031	-0.6133961263275314	0.8176977645499096	-0.5756477793321891
8	NA	0.25296756409195015	-0.1755482645888432	NA	8	Leicester 0 - [3] Liverpool	0	NA	NA	85.58711728780631	26.191200300814785	0	FALSE	NA	NA	5.059351281839002	-3.510965291776864	6.158239413428789	-0.6066578086056831	0.8215580691465928	-0.570124845117385
9	NA	0.2425957200695637	-0.16576539976938506	NA	9	Leicester 0 - [3] Liverpool	0	NA	NA	85.82971300787587	26.025434901045394	0	FALSE	NA	NA	4.851914401391274	-3.315307995387701	5.876422420377016	-0.5994290428331123	0.8256578670326405	-0.5641711501017314
10	NA	0.2324843331228027	-0.15622202051371317	NA	10	Leicester 0 - [3] Liverpool	0	NA	NA	86.06219734099867	25.86921288053169	0	FALSE	NA	NA	4.6496866624560536	-3.1244404102742633	5.601938408834617	-0.5916637478302914	0.8300138850372218	-0.5577427280076518
11	NA	0.2226334032516218	-0.1469181268218662	NA	11	Leicester 0 - [3] Liverpool	0	NA	NA	86.28483074425029	25.722294753709825	0	FALSE	NA	NA	4.4526680650324355	-2.9383625364373236	5.334812770182106	-0.5833106810751026	0.8346437366873968	-0.5507901894628293
12	NA	0.21304293045606615	-0.13785371869383456	NA	12	Leicester 0 - [3] Liverpool	0	NA	NA	86.49787367470634	25.584441035015985	0	FALSE	NA	NA	4.260858609121323	-2.757074373876691	5.075073909807703	-0.5743128063941534	0.8395658240340325	-0.5432579747358119
13	NA	0.20371291473613581	-0.1290287961296036	NA	13	Leicester 0 - [3] Liverpool	0	NA	NA	86.70158658944247	25.45541223888638	0	FALSE	NA	NA	4.074258294722716	-2.580575922592072	4.82275364749007	-0.5646065893162544	0.8447991733608667	-0.5350835044072993
14	NA	0.19464335609177055	-0.12044335912918797	NA	14	Leicester 0 - [3] Liverpool	0	NA	NA	86.89622994553424	25.33496887975719	0	FALSE	NA	NA	3.892867121835411	-2.408867182583759	4.577887671360682	-0.5541212169869616	0.850363180859424	-0.5261962187612553
15	NA	0.1858342545230306	-0.11209740769251993	NA	15	Leicester 0 - [3] Liverpool	0	NA	NA	87.08206420005727	25.222871472064675	0	FALSE	NA	NA	3.716685090460612	-2.2419481538503985	4.3405160506793905	-0.5427777424257376	0.8562772368688432	-0.5165164988848462
16	NA	0.1772856100299009	-0.10399094181973483	NA	16	Leicester 0 - [3] Liverpool	0	NA	NA	87.2593498100872	25.118880530244937	0	FALSE	NA	NA	3.5457122005980177	-2.0798188363946966	4.1106838119334626	-0.5304881576602638	0.8625601877489794	-0.5059544668351548
17	NA	0.16899742261238146	-0.0961239615107263	NA	17	Leicester 0 - [3] Liverpool	0	NA	NA	87.42834723269956	25.022756568734216	0	FALSE	NA	NA	3.379948452247629	-1.922479230214526	3.888441581206715	-0.5171544077370877	0.8692295825102037	-0.4944086699170405
18	NA	0.1609696922704572	-0.0884964667655234	NA	18	Leicester 0 - [3] Liverpool	0	NA	NA	87.58931692497	24.934260101968686	0	FALSE	NA	NA	3.219393845409144	-1.769929335310468	3.6738462928994227	-0.5026673690109548	0.8763006366464989	-0.4817646668373893
19	NA	0.15320241900412812	-0.08110845758410193	NA	19	Leicester 0 - [3] Liverpool	0	NA	NA	87.74251934397415	24.853151644384592	0	FALSE	NA	NA	3.0640483800825624	-1.6221691516820385	3.4669619600098582	-0.486905832032833	0.8837848281651899	-0.4678935536049048
20	NA	0.1456956028134394	-0.07395993396654404	NA	20	Leicester 0 - [3] Liverpool	0	NA	NA	87.88821494678758	24.779191710418036	0	FALSE	NA	NA	2.913912056268788	-1.479198679330881	3.2678604934425857	-0.4697355539917216	0.8916880209898665	-0.4526504978713436
21	NA	0.13844924369831574	-0.06705089591274342	NA	21	Leicester 0 - [3] Liverpool	0	NA	NA	88.0266641904859	24.712140814505304	0	FALSE	NA	NA	2.7689848739663145	-1.3410179182548683	3.076622545801624	-0.451008480736482	0.9000079901724983	-0.43587339632703037
22	NA	0.13146334165883244	-0.06038134342275811	NA	22	Leicester 0 - [3] Liverpool	0	NA	NA	88.15812753214475	24.651759471082542	0	FALSE	NA	NA	2.629266833176649	-1.207626868455162	2.893338337190724	-0.43056228728276846	0.9087312048439954	-0.4173818363834016
23	NA	0.12473789669492928	-0.05395127649659771	NA	23	Leicester 0 - [3] Liverpool	0	NA	NA	88.28286542883966	24.597808194585944	0	FALSE	NA	NA	2.4947579338985855	-1.079025529931954	2.718108394268866	-0.4082204520515196	0.917828714689519	-0.39697663721104
24	NA	0.11827290880665146	-0.04776069513423806	NA	24	Leicester 0 - [3] Liverpool	0	NA	NA	88.40113833764632	24.550047499451708	0	FALSE	NA	NA	2.3654581761330293	-0.9552139026847611	2.551044096623351	-0.3837931672696823	0.9272509947060619	-0.3744403728454223
25	NA	0.43258553530961386	-0.6169044668344253	NA	25	Leicester 0 - [3] Liverpool	0	NA	NA	88.83372387295591	23.933143032617274	0	FALSE	NA	NA	8.651710706192276	-12.338089336688506	15.0691919698353	-0.959252273219004	0.5741323571635961	-0.8187625030848523
26	NA	0.4225752915173277	-0.6026289915688449	NA	26	Leicester 0 - [3] Liverpool	0	NA	NA	89.25629916447326	23.330514041048435	0	FALSE	NA	NA	8.451505830346553	-12.052579831376896	14.720483395326898	-0.9592522732190086	0.5741323571635923	-0.818762503084855
27	NA	0.41256504772504143	-0.588353516303274	NA	27	Leicester 0 - [3] Liverpool	0	NA	NA	89.6688642121983	22.74216052474516	0	FALSE	NA	NA	8.251300954500827	-11.76707032606548	14.371774820818654	-0.9592522732190215	0.5741323571635818	-0.8187625030848624
28	NA	0.4025548039327401	-0.574078041037684	NA	28	Leicester 0 - [3] Liverpool	0	NA	NA	90.07141901613105	22.16808248370748	0	FALSE	NA	NA	8.051096078654801	-11.48156082075368	14.023066246309922	-0.9592522732190368	0.5741323571635693	-0.8187625030848712
29	NA	0.3925445601404539	-0.5598025657721036	NA	29	Leicester 0 - [3] Liverpool	0	NA	NA	90.46396357627148	21.608279917935374	0	FALSE	NA	NA	7.850891202809078	-11.196051315442071	13.674357671801522	-0.9592522732190427	0.5741323571635644	-0.8187625030848745
30	NA	0.3825343163481676	-0.5455270905064747	NA	30	Leicester 0 - [3] Liverpool	0	NA	NA	90.84649789261965	21.062752827428895	0	FALSE	NA	NA	7.650686326963352	-10.910541810129494	13.325649097292326	-0.9592522732190074	0.5741323571635932	-0.8187625030848543
